Nome;Tipo
EM IRMA IRMA ZORZI;Municipal
EM ISAURO BENTO NOGUEIRA;Municipal
EM JOAO DE PAULA RIBEIRO;Municipal
EM JOAO EVANGELISTA VIEIRA DE ALMEIDA;Municipal
EM JOAO NEPOMUCENO;Municipal
EM JOSE DO PATROCINIO;Municipal
EM JOSE DORILEO DE PINA;Municipal
EM JOSE MAURO MESSIAS DA SILVA - POETA DAS MORENINHAS;Municipal
EM JOSE RODRIGUES BENFICA;Municipal
EM KAME ADANIA;Municipal
EM LEOVEGILDO DE MELO;Municipal
EM MAESTRO JOAO CORREA RIBEIRO;Municipal
EM MAJOR AVIADOR Y - JUCA PIRAMA DE ALMEIDA;Municipal
EM NAGEN JORGE SAAD;Municipal
EM NAZIRA ANACHE;Municipal
EM NERONE MAIOLINO;Municipal
EM NICOLAU FRAGELLI;Municipal
EM OITO DE DEZEMBRO;Municipal
EM ORLANDINA OLIVEIRA LIMA;Municipal
EM OSVALDO CRUZ;Municipal
EM PADRE HEITOR CASTOLDI;Municipal
EM PE JOSE DE ANCHIETA;Municipal
EM PE JOSE VALENTIM;Municipal
EM PE TOMAZ GHIRARDELLI;Municipal
EM PREF MANOEL INACIO DE SOUZA;Municipal
EM PROF ALCIDIO PIMENTEL;Municipal
EM PROF ALDO DE QUEIROZ;Municipal
EM PROF ANTONIO LOPES LINS;Municipal
EM PROF ARLINDO LIMA;Municipal
EM PROF ERNESTO GARCIA DE ARAUJO;Municipal
EM PROF FAUZE SCAFF GATTASS FILHO;Municipal
EM PROF HERCULES MAYMONE;Municipal
EM PROF JOAO CANDIDO DE SOUZA;Municipal
EM PROF LICURGO DE OLIVEIRA BASTOS;Municipal
EM PROF LUIS ANTONIO DE SA CARVALHO;Municipal
EM PROF LUIZ CAVALLON;Municipal
EM PROF MUCIO TEIXEIRA JR;Municipal
EM PROF NAGIB RASLAN;Municipal
EM PROF NELSON DE SOUZA PINHEIRO;Municipal
EM PROF PLINIO MENDES DOS SANTOS;Municipal
EM PROF VANDERLEI ROSA DE OLIVEIRA;Municipal
EM PROF VIRGILIO ALVES DE CAMPOS;Municipal
EM PROF WILSON TAVEIRA ROSALINO;Municipal
EM PROFESSOR ARASSUAY GOMES DE CASTRO;Municipal
EM PROFESSOR CARLOS HENRIQUE SCHRADER;Municipal
EM PROFESSOR JOSE DE SOUZA;Municipal
EM PROFESSORA ANA LUCIA DE OLIVEIRA BATISTA;Municipal
EM PROFESSORA HILDA DE SOUZA FERREIRA;Municipal
EM PROFESSORA IRACEMA MARIA VICENTE;Municipal
EM PROFESSORA MARIA REGINA DE VASCONCELOS GALVAO;Municipal
EM PROFª ADAIR DE OLIVEIRA;Municipal
EM PROFª AGLAIR MARIA ALVES;Municipal
EM PROFª ARLENE MARQUES ALMEIDA;Municipal
EM PROFª BRIGIDA FERRAZ FOSS;Municipal
EM PROFª DANDA NUNES;Municipal
EM PROFª ELIZABEL MARIA GOMES SALLES;Municipal
EM PROFª EULALIA NETO LESSA;Municipal
EM PROFª FLORA GUIMARAES ROSA PIRES;Municipal
EM PROFª GONCALINA FAUSTINA DE OLIVEIRA;Municipal
EM PROFª IONE CATARINA GIANOTTI IGYDIO;Municipal
EM PROFª IRACEMA DE SOUZA MENDONCA;Municipal
EM PROFª LEIRE PIMENTEL DE CARVALHO CORREA;Municipal
EM PROFª LENITA DE SENA NACHIF;Municipal
EM PROFª MARIA LUCIA PASSARELLI;Municipal
EM PROFª MARIA TEREZA RODRIGUES;Municipal
EM PROFª MARINA COUTO FORTES;Municipal
EM PROFª OLIVA ENCISO;Municipal
EM PROFª ONEIDA RAMOS;Municipal
EM RAFAELA ABRAO;Municipal
EM SANTOS DUMONT;Municipal
EM SENADOR RACHID SALDANHA DERZI;Municipal
EM SULIVAN SILVESTRE OLIVEIRA - TUMUNE KALIVONO - CRIANCA DO FUTURO;Municipal
EM VALDETE ROSA DA SILVA;Municipal
EMEI ALBA LUCIA SPENGLER DOS SANTOS PEREIRA;Municipal
EMEI ALOINA DE OLIVEIRA SOARES;Municipal
EMEI ANTONIO MARIO GONCALVES;Municipal
EMEI ANTONIO RUSTIANO FERNANDES;Municipal
EMEI ATHENAS SA CARVALHO;Municipal
EMEI BEM TE VI;Municipal
EMEI CAMPO VERDE;Municipal
EMEI CARLOS NEI DA SILVA;Municipal
EMEI CLAUDIO MARCOS MANCINI;Municipal
EMEI CLEBE BRAZIL FERREIRA;Municipal
EMEI CLEOMAR BAPTISTA DOS SANTOS;Municipal
EMEI CLOTILDE CHAIA;Municipal
EMEI CONSTANCA CORREA DE ALMEIDA SERRA;Municipal
EMEI CORDEIRINHO DE JESUS;Municipal
EMEI CRISTO E VIDA;Municipal
EMEI DOM ANTONIO BARBOSA;Municipal
EMEI ELEODES ESTEVAN;Municipal
EMEI ENGENHEIRO VALDEMIR CORREA DE RESENDE;Municipal
EMEI FATIMA DE JESUS DINIZ SILVEIRA;Municipal
EMEI FELIPE SAFADI ALVES NOGUEIRA;Municipal
EMEI FLORIA BRITEZ DE EUGENIO;Municipal
EMEI GEORGINA RAMIRES DA SILVA;Municipal
EMEI IBER GOMES DE SA;Municipal
EMEI IPIRANGA;Municipal
EMEI IRMA JUDITH BANDERA;Municipal
EMEI IVONE CALARGE ZAHRAN;Municipal
EMEI JARDIM CARIOCA;Municipal
EMEI JASMIM IBRAHIM BACHA;Municipal
EMEI JOANA MENDES DOS SANTOS;Municipal
EMEI JOAO GARCIA DE CARVALHO FILHO;Municipal
EMEI JOSE CARLOS DE LIMA;Municipal
EMEI JOSE MORESCHI;Municipal
EMEI JOSE RAMAO CANTERO;Municipal
EMEI JURACY GALVAO OLIVEIRA;Municipal
EMEI LAFAYETE CAMARA DE OLIVEIRA;Municipal
EMEI LAGEADO;Municipal
EMEI LAR DE SHEILA;Municipal
EMEI LAURA DE VICUNA;Municipal
EMEI LUCIA ANGELA DE CASTRO COSTA;Municipal
EMEI LUIZ CARLOS SOBRAL PETTENGILL;Municipal
EMEI MARCO ANTONIO SANTULLO;Municipal
EMEI MARCOS ROBERTO;Municipal
EMEI MARIA CARLOTA TIBAU DE VASCONCELOS;Municipal
EMEI MARIA CRISTINA OCARIZ DE BARROS;Municipal
EMEI MARIA DE LOURDES VIEIRA CASTOLDI;Municipal
EMEI MARIA DULCE PRATA CANCADO;Municipal
EMEI MARIA EDWIGES DE ALBUQUERQUE BORGES;Municipal
EMEI MARIA OLIVEIRA LIMA;Municipal
EMEI MARTA GUARANI;Municipal
EMEI MARY SADALLA SAAD;Municipal
EMEI MENINO JESUS DE PRAGA;Municipal
EMEI MICHEL SCAFF;Municipal
EMEI MICHELI REGINA LOCATELLI;Municipal
EMEI NEIDA GORDIN FREIRE;Municipal
EMEI NILDA DE ALMEIDA COELHO;Municipal
EMEI NOSSA SENHORA AUXILIADORA;Municipal
EMEI NOSSA SENHORA DE FATIMA;Municipal
EMEI O BOM PASTOR;Municipal
EMEI ODETE TRINDADE BENITES;Municipal
EMEI OLINDA TOSHIMI NISHIO NASSU;Municipal
EMEI PASCOALA VERA RIOS;Municipal
EMEI PAULINO ROMEIRO PARE;Municipal
EMEI PAULO SIUFI;Municipal
EMEI PEDACINHO DO CEU;Municipal
EMEI PIRATININGA;Municipal
EMEI PROF EDISON DA SILVA;Municipal
EMEI PROF ELOY SOUZA DA COSTA;Municipal
EMEI PROF ELZA FRANCISCA DE SOUZA MACIEL;Municipal
EMEI PROF LAURA RODRIGUES DE OLIVEIRA;Municipal
EMEI PROF OSVALDO MACIEL DE OLIVEIRA;Municipal
EMEI PROF VALDOMIRO ALVES GONCALVES;Municipal
EMEI PROFESSOR ALBERTO GUILHERME BATISTOTI;Municipal
EMEI PROFESSORA ELENIR ZANQUETA MOLINA;Municipal
EMEI PROFESSORA EMY ISHIDA NASCIMENTO NOGUEIRA;Municipal
EMEI PROFª ADELIA LEITE KRAWIEC;Municipal
EMEI PROFª ADRIANA NOGUEIRA BORGES;Municipal
EMEI PROFª AYD CAMARGO CESAR;Municipal
EMEI PROFª CIRENE RODRIGUES LIMA;Municipal
EMEI PROFª DULCE COUTRIM DE FREITAS;Municipal
EMEI PROFª GEORGIA DE FATIMA NOGUEIRA BORGES;Municipal
EMEI PROFª IRACEMA DA CUNHA BARRETO;Municipal
EMEI PROFª LINA LEMES DE OLIVEIRA;Municipal
EMEI PROFª LUZINETE CEZAR GONCALVES;Municipal
EMEI PROFª MARIA ILDONEI DE LIMA PEDRA;Municipal
EMEI PROFª MARIA JOSEFINA BEZERRA XAVIER;Municipal
EMEI PROFª MARIOLINA PEREIRA MENDES;Municipal
EMEI PROFª MARLY SANT ANNA PINHEIRO;Municipal
EMEI PROFª SELMA APARECIDA FERREIRA LEAL TOMM;Municipal
EMEI PROFª THEREZINHA MANDETTA TRAD;Municipal
EMEI RAMZA BEDOGLIN DOMINGOS;Municipal
EMEI REGINA VITORAZZI SEBBEN;Municipal
EMEI SANDRA MARA GOBBO;Municipal
EMEI SANTA BARBARA;Municipal
EMEI SANTA EDWIRGES;Municipal
EMEI SANTA EMILIA;Municipal
EMEI SANTA TEREZINHA;Municipal
EMEI SAO FRANCISCO DE ASSIS;Municipal
EMEI SAO JOSE;Municipal
EMEI SERRADINHO;Municipal
EMEI SONIA HELENA BALDO BERNARDO DOS SANTOS;Municipal
EMEI TIA EVA;Municipal
EMEI TRIANGULO AZUL;Municipal
EMEI VARANDAS DO CAMPO;Municipal
EMEI VERA ALBA CONGRO BASTOS;Municipal
EMEI VO FINA;Municipal
EMEI ZACARIAS VIEIRA DE ANDRADE;Municipal
EMEI ZARIFE MARTINS FRANCA;Municipal
ESC DE EDUC PROFISSIONAL DA FUNDACAO SOCIAL DO TRABALHO DE CG - FUNSAT;Municipal
AMA - ASSOCIACAO DE PAIS E AMIGOS DO AUTISTA;Privada
ASEADEM- ASSOCIACAO ESPECIAL DE ATENDIMENTO AO DEFICIENTE MENTAL;Privada
ASSOC ESP DE APOIO A CRIANCA E AO ADOLESCENTE;Privada
ASSOCIACAO CAMILLE FLAMMARION;Privada
ASSOCIACAO CLUBE DE MAES CANTINHO DA AMIZADE;Privada
ASSOCIACAO ESCOLA CLINICA SANTA TEREZINHA;Privada
ASSOCIACAO EVANGELICA DE PROTECAO A CRIANCAS;Privada
ASSOCIACAO FILANTROPICA ACACIA MORENA;Privada
ASSOCIACAO SUL MATO GROSSENSE DE AMPARO A CRIANCA E AO ADOLESCENTE-ASSOMAT;Privada
ASSOCIACAO TAGARELA;Privada
ASSUPERO - ASSOCIACAO UNIFICADA PAULISTA DE ENSINO RENOVADO OBJETIVO;Privada
ATIVA IDADE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Privada
BERCARIO PAULO FREIRE;Privada
C EDUCACIONAL LATINO AMERICANO;Privada
CAEE - CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DA ASSOCIACAO PESTALOZZI DE CAMPO GRANDE MS;Privada
CAEE - GIRASSOL;Privada
CAIRA - CENTRO ARCO IRIS DE REABILITACAO ALTERNATIVA;Privada
CASA DE MARIA;Privada
CEC-COLEGIO EVANGELICO CAMPO-GRANDENSE;Privada
CEDAE - C ESP NO DESENV E ACOMP ESCOLAR;Privada
