Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM FREDERICO SOARES;50006789;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA RADIO MAIA, 410 VILA POPULAR. 79106-550 Campo Grande - MS.;(67) 20204033;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.533.366;-547.036.452;-204.533.366;-547.036.452;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM GOV HARRY AMORIM COSTA;50006797;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA AIRTON BACHI DE ARAUJO, 293 GUANANDI. 79086-040 Campo Grande - MS.;(67) 20204036;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.939.451;-546.444.485;-204.939.451;-546.444.485;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOAO EVANGELISTA VIEIRA DE ALMEIDA;50006800;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PONTA PORA, 861 ESCOLA. VILA PALMIRA. 79112-300 Campo Grande - MS.;(67) 20204049;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.407.722;-546.524.933;-204.407.722;-546.524.933;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PE JOSE DE ANCHIETA;50006819;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOM PEDRO II, 239 VILA PLANALTO. 79009-420 Campo Grande - MS.;(67) 20204073;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-2.045.623.667;-54.631.955;-2.045.623.667;-54.631.955;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PADRE HEITOR CASTOLDI;50006827;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOS PEIXES, 382 JARDIM NHANHA. 79081-290 Campo Grande - MS.;(67) 20204072;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.049.404.793;-5.463.313.552;-2.049.404.793;-5.463.313.552;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF ALCIDIO PIMENTEL;50006835;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BRILHANTE, 245 VILA CARVALHO. 79005-250 Campo Grande - MS.;(67) 20204081;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-2.047.732.887;-546.227.734;-2.047.732.887;-546.227.734;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF LICURGO DE OLIVEIRA BASTOS;50006843;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANTONIO DE MORAIS RIBEIRO, 1056 VILA NASSER. 79117-470 Campo Grande - MS.;(67) 20204101;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.150.031;-546.350.691;-204.150.031;-546.350.691;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª MARIA LUCIA PASSARELLI;50006851;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CHARLOTE, 2001 JARDIM AERO RANCHO. 79083-610 Campo Grande - MS.;(67) 20204151;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.342.106;-546.531.208;-205.342.106;-546.531.208;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF MUCIO TEIXEIRA JR;50006860;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO CRUZEIRO, 479 VILA CARLOTA. 79051-380 Campo Grande - MS.;(67) 20204107;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.048.993.836;-545.991.001;-2.048.993.836;-545.991.001;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF NAGIB RASLAN;50006878;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA MURILO ROLIM JUNIOR, 437 JARDIM PETROPOLIS. 79102-100 Campo Grande - MS.;(67) 20204109;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.522.461;-546.678.296;-204.522.461;-546.678.296;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ABEL FREIRE DE ARAGAO;50006916;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANA LUIZA DE SOUZA, 1201 SANTA BRANCA. 79070-140 Campo Grande - MS.;(67) 20204001;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.051.828.947;-5.461.463.856;-2.051.828.947;-5.461.463.856;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DARTHESY NOVAES CAMINHA;50006959;MS;Campo Grande;Rural;A escola não está em área de localização diferenciada;Pública;RUA MASCOTE, 1152 CHACARA DAS MANSOES. 79079-130 Campo Grande - MS.;(67) 20204171;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-2.069.157.384;-5.458.386.163;-2.069.157.384;-5.458.386.163;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR EDUARDO OLIMPIO MACHADO;50006975;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LUCIA MARTINS COELHO, 793 OURO VERDE. 79097-170 Campo Grande - MS.;(67) 20204020;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.316.609;-546.690.421;-205.316.609;-546.690.421;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM GERALDO CASTELO;50007033;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PADRE JOAO CRIPPA, 218 JARDIM MONTE LIBANO. 79004-540 Campo Grande - MS.;(67) 20204034;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.715.962;-5.460.882.209;-204.715.962;-5.460.882.209;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM IRMA EDITH COELHO NETTO;50007041;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PARANAPEBAS, 1149 JARDIM COLUMBIA. 79018-073 Campo Grande - MS.;(67) 20204042;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-203.821.474;-54.549.973;-203.821.474;-54.549.973;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOSE DO PATROCINIO;50007050;MS;Campo Grande;Rural;A escola não está em área de localização diferenciada;Pública;RODOVIA BR 163 KM 444, SN SAIDA PARA SAO PAULO. CACHOERINHA. 79125-000 Campo Grande - MS.;(67) 20204174;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.076.410.283;-5.452.923.834;-2.076.410.283;-5.452.923.834;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM LEOVEGILDO DE MELO;50007076;MS;Campo Grande;Rural;A escola não está em área de localização diferenciada;Pública;BR 262, KM 309, FAZENDA SAO MIGUEL, S/N FAZENDA SAO MIGUEL. ZONA RURAL. 79108-550 Campo Grande - MS.;(67) 20204175;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.735.498;-54.392.458;-204.735.498;-54.392.458;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MAESTRO JOAO CORREA RIBEIRO;50007092;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA NOVA IORQUE, 227 JARDIM CAMPO NOVO. 79014-100 Campo Grande - MS.;(67) 20204061;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.047.926;-545.927.692;-204.047.926;-545.927.692;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM MAJOR AVIADOR Y - JUCA PIRAMA DE ALMEIDA;50007106;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FOX, 34 VILA DA BASE AEREA. 79090-350 Campo Grande - MS.;(67) 20204063;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.047.080.251;-5.465.365.672;-2.047.080.251;-5.465.365.672;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ORLANDINA OLIVEIRA LIMA;50007149;MS;Campo Grande;Rural;A escola não está em área de localização diferenciada;Pública;RODOVIA BR-080, KM 30 COLONIA DO AGUAO. ZONA RURAL. 79114-005 Campo Grande - MS.;(67) 20204178;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-2.024.192.991;-5.478.991.421;-2.024.192.991;-5.478.991.421;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PE JOSE VALENTIM;50007165;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DAS VIOLETAS, 538 JARDIM JOQUEI CLUB. 79080-580 Campo Grande - MS.;(67) 20204075;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.049.144.076;-546.247.371;-2.049.144.076;-546.247.371;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF ANTONIO LOPES LINS;50007181;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CIBELE, 460 PORTAL CAIOBA. 79096-030 Campo Grande - MS.;(67) 20204084;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-20.522.944;-54.679.001;-20.522.944;-54.679.001;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª GONCALINA FAUSTINA DE OLIVEIRA;50007211;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DELAMARE, 42 JARDIM TARUMA. 79097-240 Campo Grande - MS.;(67) 20204138;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.444.152;-546.720.936;-205.444.152;-546.720.936;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF HERCULES MAYMONE;50007220;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CELINA BAIS MARTINS, 31 NOVA LIMA. 79017-141 Campo Grande - MS.;(67) 20204095;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.040.848.542;-5.457.362.943;-2.040.848.542;-5.457.362.943;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª LENITA DE SENA NACHIF;50007238;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ENCHOVA, 305 JARDIM CENTRO OESTE. 79073-171 Campo Grande - MS.;(67) 20204148;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.055.256.852;-5.460.975.124;-2.055.256.852;-5.460.975.124;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF LUIZ CAVALLON;50007246;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANA LUIZA DE SOUZA, 2414 JD. BOTA FOGO -. 79070-140 Campo Grande - MS.;(67) 20204105;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.052.389.333;-5.462.506.167;-2.052.389.333;-5.462.506.167;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF NELSON DE SOUZA PINHEIRO;50007254;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FRANCISCO SERRA, 319 VILA CORUMBA. 79009-040 Campo Grande - MS.;(67) 20204111;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.471.111;-5.462.979.168;-204.471.111;-5.462.979.168;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF VIRGILIO ALVES DE CAMPOS;50007270;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA JAMIL BASMAGE, S/N MATA DO JACINTO. 79033-480 Campo Grande - MS.;(67) 20204117;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.042.305.637;-5.457.641.508;-2.042.305.637;-5.457.641.508;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM BERNARDO FRANCO BAIS;50007300;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA CALOGERAS, 405 CENTRO. 79004-383 Campo Grande - MS.;(67) 20204005;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.788.271;-54.616.487;-204.788.271;-54.616.487;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DOMINGOS GONCALVES GOMES;50007319;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BARAO DE LIMEIRA, 599 UNIVERSITARIO. 79070-150 Campo Grande - MS.;(67) 20204019;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.051.387.083;-5.460.902.679;-2.051.387.083;-5.460.902.679;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROF PLINIO MENDES DOS SANTOS;50007327;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BARRA MANSA, 327 GUANANDI. 79086-390 Campo Grande - MS.;(67) 20204113;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-204.991.566;-546.483.026;-204.991.566;-546.483.026;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª IRACEMA DE SOUZA MENDONCA;50007335;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BELMIRA PEREIRA DE SOUZA, 490 UNIVERSITARIO. 79071-031 Campo Grande - MS.;(67) 20204142;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-2.052.258.947;-5.460.393.124;-2.052.258.947;-5.460.393.124;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO RUI BARBOSA - UNIDADE MULTIPLICANDO;50007351;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA GUARATUBA, 373 PARQUE SAO DOMINGOS. 79110-220 Campo Grande - MS.;(67) 33413921;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.490.449;-546.335.597;-204.490.449;-546.335.597;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA RAIO DE SOL;50007424;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA JULIO DE CASTILHO, 2466 VILA PALMIRA. 79112-000 Campo Grande - MS.;(67) 32040065;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-204.501.741;-546.522.439;-204.501.741;-546.522.439;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA URSINHO PANDA;50007432;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA BARRA DO MENDES, 68 PANAMA III. 79113-020 Campo Grande - MS.;(67) 33611600;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.044.397;-5.466.506;-2.044.397;-5.466.506;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ABC DE EIEF;50007467;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA SALGADO FILHO, 3590 VILA PROGRESSO. 79050-350 Campo Grande - MS.;(67) 33422058;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-2.048.721;-546.086;-2.048.721;-546.086;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ALBERTO BETTENCOURT;50007475;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA 58, 329 VILA NOVA CAMPO GRANDE. 79104-340 Campo Grande - MS.;(67) 33631332;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.590.746;-546.897.321;-204.590.746;-546.897.321;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA IDEAL;50007483;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CANCAO, 53 RECANTO DOS PASSAROS. 79113-250 Campo Grande - MS.;(67) 33633295;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.044.376;-546.694;-2.044.376;-546.694;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA AMARELINHA YELLOW;50007491;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA HUGO PEREIRA DO VALE, 277 MATA DO JACINTO. 79033-210 Campo Grande - MS.;(67) 33545566;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.042.575;-5.457.123;-2.042.575;-5.457.123;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA CRESCENDO EIEF;50007629;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA NORUEGA, 356 JARDIM JACY. 79006-650 Campo Grande - MS.;(67) 33819046;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.048.916;-5.463.748;-2.048.916;-5.463.748;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL FAZ DE CONTA E ENSINO FUNDAMENTAL NOVA GERACAO;50007661;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ALBERT SABIN, 851 VILA TAVEIRPOLIS. 79090-160 Campo Grande - MS.;(67) 33311591;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.047.432;-5.464.441;-2.047.432;-5.464.441;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO CAMPO-GRANDENSE - CECAMP;50007688;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA FERNANDO CORREA DA COSTA, 569 VILA CIDADE. 79005-050 Campo Grande - MS.;(67) 33250707;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-2.046.848;-546.172;-2.046.848;-546.172;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA NAZARE EIEF;50007700;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ANTONIO NEVES DE AZEVEDO, 50 VILA FLORIO. 79092-286 Campo Grande - MS.;(67) 33852268;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.049.944.247;-5.465.890.967;-2.049.944.247;-5.465.890.967;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ALMIRANTE TAMANDARE;50007718;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA GENERAL NEPOMUCENO COSTA, 493 VILA ALBA. 79100-010 Campo Grande - MS.;(67) 30292879;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-204.621.217;-54.635.054;-204.621.217;-54.635.054;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;O CASULO ESTABELECIMENTO DE ENSINO;50007734;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA SENADOR PONCE, 486 JARDIM MONTE LIBANO. 79004-570 Campo Grande - MS.;(67) 33831107;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.047.792.541;-546.091.241;-2.047.792.541;-546.091.241;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;METROPOLITANO INST DE EDUC E CULTURA;50007742;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RUI BARBOSA, 3506 CENTRO. 79002-364 Campo Grande - MS.;(67) 33246815;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.045.536;-546.154;-2.045.536;-546.154;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ATUAL EIEF;50007750;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DAS EMBAUVAS, 73 JARDIM SAMAMBAIA. 79044-570 Campo Grande - MS.;(67) 33055263;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.047.257.481;-5.454.819.096;-2.047.257.481;-5.454.819.096;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA TURMA DA MONICA;50007823;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ZACARIAS DE PAULA NANTES, 227 PARQUE RESIDENCIAL UNIAO. 79091-736 Campo Grande - MS.;(67) 33869623;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.772.812;-546.652.296;-204.772.812;-546.652.296;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA VISCONDE DE CAIRU;50007831;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ANTONIO MARIA COELHO, 1108 CENTRO. 79002-220 Campo Grande - MS.;(67) 33243627;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.045.778.148;-5.461.942.119;-2.045.778.148;-5.461.942.119;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SALESIANO DOM BOSCO;50007858;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA MATO GROSSO, 227 CENTRO. 79002-230 Campo Grande - MS.;(67) 33123200;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.549.682;-546.179.549;-204.549.682;-546.179.549;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENS NOSSA SENHORA AUXILIADORA;50007874;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PEDRO CELESTINO, 1980 CENTRO. 79002-371 Campo Grande - MS.;(67) 33231700;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.558.947;-546.128.679;-204.558.947;-546.128.679;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO OSWALDO TOGNINI;50007890;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CORONEL CACILDO ARANTES, 322 CHACARA CACHOEIRA. 79040-452 Campo Grande - MS.;(67) 39012890;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-2.046.113.194;-5.457.944.638;-2.046.113.194;-5.457.944.638;;;;
