Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA CARROSSEL NOVO ESTILO;50005316;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ALBERT SABIN, 1895 1905. VILA TAVEIROPOLIS. 79090-160 Campo Grande - MS.;(67) 33807653;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.860.233;-546.507.013;-204.860.233;-546.507.013;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFª IGNES DE LAMONICA GUIMARAES - CEEJA-MS;50005340;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ELVIRA COELHO MACHADO, 544 CHACARA CACHOEIRA. 79040-131 Campo Grande - MS.;(67) 33414409;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação de Jovens Adultos;;-204.633.943;-54.586.582;-204.633.943;-54.586.582;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MARISTA ALEXANDER FLEMING;50005405;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PERNAMBUCO, 2834 VILA GOMES. 79022-340 Campo Grande - MS.;(67) 33262941;Privada;Filantrópica;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-204.481.333;-54.591.445;-204.481.333;-54.591.445;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MILITAR DE CAMPO GRANDE;50005499;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA PRESIDENTE VARGAS, 2800 CMCG. SANTA CARMELIA. 79115-810 Campo Grande - MS.;(67) 33684828;Federal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-204.366.252;-546.466.837;-204.366.252;-546.466.837;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEI- JOSE EDUARDO MARTINS JALLAD - ZEDU;50005588;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA PRESIDENTE MANOEL FERRAZ DE CAMPO SALES, S/N PARQUE DOS PODERES. 79031-300 Campo Grande - MS.;(67) 33141270;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-204.436.836;-545.538.614;-204.436.836;-545.538.614;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEI - MARIA APARECIDA MORAES DAVILA - SANTA CASA;50005596;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA EDUARDO SANTOS PEREIRA, 88 COMPLEXO SANTA CASA. CENTRO. 79002-251 Campo Grande - MS.;(67) 33224225;Privada;Filantrópica;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.546.553;-546.155.895;-204.546.553;-546.155.895;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ADVENTISTA JARDIM DOS ESTADOS;50005618;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RIO GRANDE DO SUL, 760 JARDIM DOS ESTADOS. 79020-010 Campo Grande - MS.;(67) 33820129;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-204.581.754;-546.011.712;-204.581.754;-546.011.712;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ADVENTISTA CAMPO-GRANDENSE;50005626;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA CUIABA, 1311 JARDIM LEBLON. 79090-294 Campo Grande - MS.;(67) 30479551;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-204.975.068;-546.520.813;-204.975.068;-546.520.813;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ADVOGADO DEMOSTHENES MARTINS;50005723;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ARIRAMBA, 215 CONJUNTO RESIDENCIAL OCTAVIO PECORA. 79012-110 Campo Grande - MS.;(67) 20204192;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.201.076;-546.093.542;-204.201.076;-546.093.542;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ARACY EUDOCIAK;50005731;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MARACATINS, 696 JARDIM TIJUCA. 79094-140 Campo Grande - MS.;(67) 33257684;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-205.175.288;-546.640.588;-205.175.288;-546.640.588;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ELVIRA MATHIAS DE OLIVEIRA;50005740;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA AGRONOMICA, 38 VILA SANTO EUGENIO. 79060-490 Campo Grande - MS.;(67) 99167786;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-205.224.955;-545.927.335;-205.224.955;-545.927.335;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOAO CARLOS FLORES;50005758;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ASSUNCAO, 971 RITA VIEIRA. 79052-061 Campo Grande - MS.;;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-205.012.488;-545.909.816;-205.012.488;-545.909.816;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOSE FERREIRA BARBOSA;50005766;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA COMANDANTE ELIAS FERREIRA, 55 VILA BORDON. 79106-695 Campo Grande - MS.;(67) 33147057;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.578.337;-547.062.603;-204.578.337;-547.062.603;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE LUISA VIDAL BORGES DANIEL;50005774;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DAS AMEIXEIRAS, S/N BOM JARDIM. 79091-210 Campo Grande - MS.;(67) 33146070;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-204.916.358;-546.634.071;-204.916.358;-546.634.071;;;;
