Nome;Tipo
EM PROFª MARIA LUCIA PASSARELLI;Municipal
EM PROF MUCIO TEIXEIRA JR;Municipal
EM PROF NAGIB RASLAN;Municipal
EM ABEL FREIRE DE ARAGAO;Municipal
EM DARTHESY NOVAES CAMINHA;Municipal
EM DR EDUARDO OLIMPIO MACHADO;Municipal
EM GERALDO CASTELO;Municipal
EM IRMA EDITH COELHO NETTO;Municipal
EM JOSE DO PATROCINIO;Municipal
EM LEOVEGILDO DE MELO;Municipal
EM MAESTRO JOAO CORREA RIBEIRO;Municipal
EM MAJOR AVIADOR Y - JUCA PIRAMA DE ALMEIDA;Municipal
EM ORLANDINA OLIVEIRA LIMA;Municipal
EM PE JOSE VALENTIM;Municipal
EM PROF ANTONIO LOPES LINS;Municipal
EM PROFª GONCALINA FAUSTINA DE OLIVEIRA;Municipal
EM PROF HERCULES MAYMONE;Municipal
EM PROFª LENITA DE SENA NACHIF;Municipal
EM PROF LUIZ CAVALLON;Municipal
EM PROF NELSON DE SOUZA PINHEIRO;Municipal
EM PROF VIRGILIO ALVES DE CAMPOS;Municipal
EM BERNARDO FRANCO BAIS;Municipal
EM DOMINGOS GONCALVES GOMES;Municipal
EM PROF PLINIO MENDES DOS SANTOS;Municipal
EM PROFª IRACEMA DE SOUZA MENDONCA;Municipal
COLEGIO RUI BARBOSA - UNIDADE MULTIPLICANDO;Privada
ESCOLA RAIO DE SOL;Privada
ESCOLA URSINHO PANDA;Privada
COLEGIO ABC DE EIEF;Privada
COLEGIO ALBERTO BETTENCOURT;Privada
ESCOLA IDEAL;Privada
ESCOLA AMARELINHA YELLOW;Privada
ESCOLA CRESCENDO EIEF;Privada
ESCOLA DE EDUCACAO INFANTIL FAZ DE CONTA E ENSINO FUNDAMENTAL NOVA GERACAO;Privada
CENTRO DE ENSINO CAMPO-GRANDENSE - CECAMP;Privada
ESCOLA NAZARE EIEF;Privada
COLEGIO ALMIRANTE TAMANDARE;Privada
O CASULO ESTABELECIMENTO DE ENSINO;Privada
METROPOLITANO INST DE EDUC E CULTURA;Privada
ESCOLA ATUAL EIEF;Privada
ESCOLA TURMA DA MONICA;Privada
ESCOLA VISCONDE DE CAIRU;Privada
COLEGIO SALESIANO DOM BOSCO;Privada
CENTRO DE ENS NOSSA SENHORA AUXILIADORA;Privada
COLEGIO OSWALDO TOGNINI;Privada
MABE MODERNA ASSOCIACAO BRASILEIRA DE ENSINO MEDIO LTDA;Privada
COLEGIO PROF LOURIVAL MARTINS FAGUNDES;Privada
COLEGIO RAUL SANS DE MATOS;Privada
COLEGIO SANTEL;Privada
ESCOLA ESPECIAL RAIO DE SOL;Privada
ESCOLA ESPECIAL COLIBRI;Privada
EE PROFª MARIA RITA DE CASSIA PONTES TEIXEIRA;Estadual
EE PROFª ZELIA QUEVEDO CHAVES;Estadual
EM PROF ALDO DE QUEIROZ;Municipal
EM PROF JOAO CANDIDO DE SOUZA;Municipal
EM ANTONIO JOSE PANIAGO;Municipal
COLEGIO MARIA MONTESSORI;Privada
INST SMG CEGOS FLORIVALDO VARGAS - ISMAC;Privada
NOTA 10 INTERNACIONAL - UNIDADE MAXIMA;Privada
INSTITUTO DE EDUCACAO HARMONIA;Privada
ESCOLA INOVACAO;Privada
COLEGIO STATUS - UNIDADE 1;Privada
ASSOCIACAO FILANTROPICA ACACIA MORENA;Privada
EM ISAURO BENTO NOGUEIRA;Municipal
EM AGRICOLA BARAO DO RIO BRANCO;Municipal
EMEI MENINO JESUS DE PRAGA;Municipal
EM OITO DE DEZEMBRO;Municipal
INSTITUTO DE EDUC HARMONIA UNIDADE II;Privada
ASSOCIACAO ESCOLA CLINICA SANTA TEREZINHA;Privada
ESCOLA DE DESENVOLVIMENTO ESPECIAL JULIANO FERNANDES VARELA;Privada
ASEADEM- ASSOCIACAO ESPECIAL DE ATENDIMENTO AO DEFICIENTE MENTAL;Privada
AMA - ASSOCIACAO DE PAIS E AMIGOS DO AUTISTA;Privada
EE JOSE ANTONIO PEREIRA;Estadual
EE PROFª NEYDER SUELLY COSTA VIEIRA;Estadual
EMEI NOSSA SENHORA DE FATIMA;Municipal
EMEI NOSSA SENHORA AUXILIADORA;Municipal
EMEI PROFª LINA LEMES DE OLIVEIRA;Municipal
EMEI SANTA EDWIRGES;Municipal
EMEI CRISTO E VIDA;Municipal
EMEI SAO JOSE;Municipal
EMEI TRIANGULO AZUL;Municipal
ASSOCIACAO CAMILLE FLAMMARION;Privada
EM PROFª FLORA GUIMARAES ROSA PIRES;Municipal
EM PROF LUIS ANTONIO DE SA CARVALHO;Municipal
EM VALDETE ROSA DA SILVA;Municipal
EM PROF WILSON TAVEIRA ROSALINO;Municipal
EMEI PROFª GEORGIA DE FATIMA NOGUEIRA BORGES;Municipal
EMEI LAR DE SHEILA;Municipal
EMEI DOM ANTONIO BARBOSA;Municipal
ASSOCIACAO EVANGELICA DE PROTECAO A CRIANCAS;Privada
EMEI SAO FRANCISCO DE ASSIS;Municipal
CEI - JOAO PAULO II;Privada
EMEI PEDACINHO DO CEU;Municipal
EMEI JOSE MORESCHI;Municipal
EMEI SANTA BARBARA;Municipal
EMEI SANTA TEREZINHA;Municipal
EM IRMA IRMA ZORZI;Municipal
EMEI PROFª CIRENE RODRIGUES LIMA;Municipal
EMEI LAURA DE VICUNA;Municipal
EMEI CORDEIRINHO DE JESUS;Municipal
CEI - PEQUENO PRINCIPE;Privada
EMEI BEM TE VI;Municipal
CEI - FLAMINGOS;Privada
EMEI ELEODES ESTEVAN;Municipal
EMEI ANTONIO MARIO GONCALVES;Municipal
EMEI O BOM PASTOR;Municipal
SOCIEDADE ASSISTENCIAL MEIMEI CASA DA CRIANCA MEIMEI;Privada
ESPACO LIVRE;Privada
COLEGIO LICEU;Privada
COLEGIO NOVA DIMENSAO UNIDADE I;Privada
CENTRO EDUCACIONAL ALCEU VIANA;Privada
EM AGRICOLA GOV ARNALDO ESTEVAO DE FIGUEIREDO;Municipal
EM RAFAELA ABRAO;Municipal
EM PROF VANDERLEI ROSA DE OLIVEIRA;Municipal
EM NAZIRA ANACHE;Municipal
EM PE TOMAZ GHIRARDELLI;Municipal
EM PROFª ONEIDA RAMOS;Municipal
EM ELPIDIO REIS;Municipal
